,index,iso,"('Index',)","('RF',)","('NuSVR',)","('GBR',)","('DTREE',)","('ADA_DTREE',)"
27,117,490.0539092070694,27,492.76096498579136,494.4700952767095,493.2727465786069,494.1280377438568,493.5500440648805
28,1290,493.19303206450087,28,494.1386988361627,494.2869698314734,494.3652560498484,495.1490258760933,494.64359651630303
29,712,490.9938529708863,29,494.08547070378006,494.0293873967755,494.3430957406204,495.1490258760933,494.21898516407305
30,1074,498.0277120745996,30,498.5884333137976,499.15586244489896,499.3497671111544,500.726658035386,499.8179605103801
31,1356,501.0241615112038,31,500.334138574625,497.7578575637227,500.3805489201574,498.0533875145395,500.7808154871129
32,193,492.6047236055024,32,491.5462159999094,490.3228481287178,491.5098452177501,490.8529065750889,490.54061223132544
33,23,490.5646247180284,33,490.2555247823004,490.16464322310014,489.81068474195,489.71937187036673,489.9019321876779
34,561,490.75966646638017,34,490.3766577034135,490.2533810207872,490.3253585758665,489.71937187036673,489.7025812281281
35,1139,489.4271023716457,35,489.6672219884707,490.6245467981671,489.0217019907385,489.71937187036673,489.9019321876779
36,466,489.2220433540712,36,489.1378341935891,489.7002787191801,490.2391488421427,489.71937187036673,489.5888471973705
37,1326,496.6212358260693,37,491.8828489183744,490.7469984767789,491.4168726809236,490.8529065750889,491.8017889109861
38,1007,496.3020798790996,38,496.40204667572414,494.0965935220609,495.0950051642255,495.1490258760933,497.6156566643051
39,258,484.929934999685,39,488.3836002910848,490.6833129822608,489.0052585280669,490.8529065750889,490.05765720454445
40,920,500.42421396339705,40,499.4548235647084,502.06404341438696,500.3495653439387,500.726658035386,499.8736383550794
41,290,490.11375213001946,41,489.934176778657,490.1062011918984,489.9094729700575,489.71937187036673,489.73201852891054
42,58,489.85732346374544,42,490.2285893636189,490.1409484280561,490.7763092717737,490.8529065750889,490.6057057605461
43,1124,483.7816776134814,43,488.4964994032362,490.7255215707576,488.07191927403454,489.71937187036673,489.4640553295693
44,795,497.7238262764336,44,490.9811137118814,490.473300162199,490.5704539224655,489.71937187036673,491.3367700103642
45,908,488.71240538440287,45,489.7441715240979,490.4928898744322,491.145691237787,490.8529065750889,490.1137879625242
46,12,498.5355193784082,46,497.8818215356666,497.49453843147967,499.4163506863552,498.0533875145395,499.7095881059168
47,1359,491.9100377884211,47,491.1636655467559,490.5639548296118,490.5639044527168,490.8529065750889,489.7551206418717
48,1244,488.2149878771602,48,489.8022596907426,489.8590231575308,490.2603899805732,490.8529065750889,490.4530277208907
49,323,494.9732561995411,49,494.4502542298886,493.14470883749095,494.57810773280977,493.01795119742974,493.8260416566607
50,1233,496.4910362382577,50,493.8639797318838,492.4458270445037,493.8358811810357,493.01795119742974,493.64157875190295
51,353,487.4447968538628,51,489.3039960135439,489.5975078559525,490.38962410491393,489.71937187036673,490.3739419376965
52,994,490.91604518392086,52,490.2465697002495,490.0256815527121,489.2156156763932,489.71937187036673,489.6001475345136
53,9,492.2649151843064,53,490.8951011679084,490.3793542293958,490.3298069071943,490.8529065750889,490.4336221069908
54,73,491.76526525213103,54,493.31178932612914,493.9876395148939,494.2888221688965,494.1280377438568,494.5437758916926
55,143,493.2901107973376,55,490.9165201315863,489.79275173285663,490.3498047127764,489.71937187036673,489.87295078954656
56,1062,489.4814454428074,56,490.2028893617943,490.2949217526455,490.6021882983802,490.8529065750889,490.4530277208907
57,1096,490.76866737732666,57,490.66026276977874,490.2459954865376,491.5199045986012,490.8529065750889,489.77821250830334
58,174,488.12090239500657,58,489.2003912639773,490.16741650122464,489.4588599468048,489.71937187036673,489.5760056698518
59,1087,489.2902754254399,59,489.3817353247504,489.58811330384606,489.278658495118,489.71937187036673,489.87295078954656
60,1170,492.0881918030738,60,490.5847194712359,490.2607554929919,490.0397948557019,489.71937187036673,489.9019321876779
61,1390,495.5629730319235,61,496.2410101218021,495.21893980574976,495.9144756320472,494.1280377438568,495.9394892766354
62,632,493.5779157095394,62,491.3764880226692,490.2969592246876,491.3466989715657,489.71937187036673,489.73201852891054
63,937,488.4495384734367,63,487.72075320659553,489.19933465619965,487.8865486863936,489.71937187036673,488.1912995892853
64,566,491.2497000035849,64,490.3974801053904,490.46769264850576,490.59703902895217,489.71937187036673,490.1137879625242
65,662,485.7590609427236,65,495.1045254889039,497.8864233201571,494.2620190045604,498.0533875145395,493.0753560425858
66,496,488.00857603336544,66,488.5130566653661,489.8446891712621,488.92483209851696,489.71937187036673,489.4284205654124
67,1310,493.8831165657377,67,491.3695772283214,489.9814172951026,490.8535660686588,489.71937187036673,490.1137879625242
68,776,486.55675252485554,68,489.7799350527171,490.23875526804994,489.5983150388053,489.71937187036673,489.7551206418717
69,1013,487.3622198433981,69,489.29026183595903,489.6511937053513,489.5755714636909,489.71937187036673,489.9019321876779
70,1154,488.5792038245435,70,489.1868573902531,490.35991239320543,489.1832189692153,490.8529065750889,489.79321447724107
71,75,498.16137570147976,71,498.963851777202,499.44619609651215,499.4142344614782,500.726658035386,500.33393869084887
72,813,494.2715251970705,72,491.3294065386754,490.07574741363584,490.52511166359534,489.71937187036673,490.22169349230217
73,1130,488.5542534810048,73,489.5446263759134,489.4418247050344,490.1744372861117,489.71937187036673,489.5760056698518
74,62,498.0379438084898,74,495.1784293584252,493.24621609869575,495.3509569734215,493.01795119742974,493.60722229936056
75,535,484.7025220759752,75,487.825490699872,490.3392078209947,488.58002925912615,490.8529065750889,489.87295078954656
76,615,490.0182426008434,76,490.3580653184701,490.1339520621989,490.1860741540888,489.71937187036673,490.3739419376965
77,299,500.22090309889495,77,499.72268561517006,499.7991393056072,499.2115381234724,500.726658035386,500.0698968467794
78,611,492.7778154702423,78,491.5176596970968,490.3495195719723,490.7296766121887,490.8529065750889,490.90148568702
79,76,497.4875196763135,79,494.70955980308986,495.5110378602657,494.13415417877457,494.1280377438568,494.5404359606289
80,1165,493.0252062986089,80,491.1658321372871,489.68458908597216,490.2391488421427,489.71937187036673,489.7025812281281
81,1205,496.4940304518636,81,498.2367830067568,499.3471711588028,499.7325046941763,500.726658035386,499.5439598518579
82,14,490.5435296333774,82,490.37268959661,489.4277277944577,489.42119687724,489.71937187036673,489.6553447505154
83,1331,494.4680556385456,83,493.3952324721101,493.9483304349057,493.6045076293098,493.01795119742974,493.60722229936056
84,369,491.2076680350627,84,490.67319543823305,490.7278954250893,491.14613367706016,490.8529065750889,490.910570626793
85,850,498.077895414064,85,495.94777460450047,494.0843314904415,494.80375909577566,495.1490258760933,494.9075268240631
86,821,487.7478669543099,86,493.6459468370634,495.7666770475047,494.8141034083909,495.1490258760933,493.4949909541461
87,240,491.7802214082837,87,490.6716457511124,490.1211487704454,490.0029759957075,489.71937187036673,489.77821250830334
88,1321,493.54229512149374,88,491.36236219208,490.1322587619275,491.4278885678046,489.71937187036673,490.1137879625242
89,42,486.6438489642233,89,489.0642461253378,490.3940708589678,490.5599297545684,489.71937187036673,489.77821250830334
90,1003,489.0847350728474,90,490.0700910041965,491.0147730934632,490.7878526724671,490.8529065750889,490.6274593017862
91,33,490.90711230252896,91,490.6095193124502,490.37156141060393,489.14956283506456,489.71937187036673,489.9863365196112
92,941,485.0340307490596,92,488.6853065320117,490.4933996389139,489.4027366414521,490.8529065750889,490.05765720454445
93,66,493.3897908477376,93,491.2423045443263,490.83888799008537,490.7593116742695,490.8529065750889,490.9796206658866
94,599,489.84402853383546,94,490.8132462055962,490.355528974948,490.91091049749735,490.8529065750889,491.2323048991117
95,1221,490.9068567519583,95,489.8715753928854,489.4067503810472,488.587414050844,489.71937187036673,489.438254836889
96,1246,490.0754798872636,96,490.485899290122,490.11200143745793,490.3423561733707,489.71937187036673,490.05597841596807
97,1325,488.2559648832444,97,488.67853259483456,490.3367587896748,488.4133745634165,489.71937187036673,489.7025812281281
98,793,498.6227423467615,98,494.9943714737675,494.4690811715542,495.3036472138362,494.1280377438568,494.8116948026792
99,756,487.4638204262335,99,489.9126048170147,489.7344231290356,489.6675424158223,489.71937187036673,489.7038710453105
100,1216,494.322173092224,100,490.5749240648901,490.19266884998297,489.2974757009179,489.71937187036673,489.54311546155446
101,46,489.2989540531201,101,489.6257534504053,487.8538127159871,489.7992726284656,489.71937187036673,489.7762897065912
102,1247,493.4966421388505,102,490.4181062168389,489.5453791397077,491.0617102210013,489.71937187036673,489.6553447505154
103,1380,483.6854200300265,103,488.6117322795496,490.1997497397984,489.4588599468048,489.71937187036673,489.5218362903416
104,594,492.7446179393171,104,490.9431455706696,489.759540013242,490.2473792166519,489.71937187036673,490.0171358925457
105,1020,487.755952213344,105,489.4197058597477,489.89545163512366,489.72047649972274,489.71937187036673,489.6553447505154
106,140,489.0375770356602,106,489.66093880576193,490.216275095976,490.7264367998624,490.8529065750889,490.1327978446014
107,531,489.9876298249035,107,489.57024172580265,490.19082696830577,489.8363285616402,489.71937187036673,489.7038710453105
108,1243,492.6638541482801,108,490.8066194608081,490.0949016831117,489.9769323007585,490.8529065750889,490.6057057605461
109,629,489.05495146199047,109,490.2091064956581,490.3264901743208,490.2862328680181,490.8529065750889,490.4530277208907
110,1383,496.1521673923865,110,495.2437291364849,494.9870038770616,494.5911241713976,494.1280377438568,494.7879226613884
111,1231,490.678609680609,111,490.2667873148875,490.1442941261891,491.1838711162528,490.8529065750889,490.3086244688814
112,672,487.5390635797685,112,488.9575584550378,489.7245028250244,489.4011850168188,489.71937187036673,489.8605849527895
113,365,495.6453323033716,113,496.6354146897835,497.89111656904817,497.154731027824,498.0533875145395,497.1330381388158
114,909,497.7463857123721,114,495.3804284889415,494.5685810568032,494.80375909577566,495.1490258760933,494.3957318262464
115,511,496.6166808616329,115,496.1424609088519,497.5691279274776,495.1356835240464,498.0533875145395,495.4746688878892
116,188,490.2513012302284,116,489.7240920734059,489.3495181560672,489.2962144502853,489.71937187036673,489.4640553295693
117,499,497.05257489438645,117,495.0406151857476,493.1020903436625,494.5307406848258,493.01795119742974,493.70587202996217
118,264,491.7206310825943,118,490.6507880219235,490.6596155951653,490.5461941734404,489.71937187036673,490.05597841596807
119,1051,492.93111046842506,119,491.28692265967993,490.4744678832208,490.8967282831451,490.8529065750889,490.9796206658866
120,549,495.2526985590914,120,490.8874223786041,490.0087734736017,490.6309832559486,489.71937187036673,489.9687149318097
121,702,495.9314011581279,121,490.633631767011,489.5528756962308,490.3225045023166,489.71937187036673,489.7551206418717
122,1294,488.127140513759,122,489.3268059034348,490.562705569545,490.3932348142708,489.71937187036673,490.05597841596807
123,456,489.6884047725398,123,491.88501948035656,493.8336187293254,492.8076023174538,493.01795119742974,492.979669356476
124,1279,491.4993369002637,124,490.1292485892541,490.0454730045064,490.13153050407294,489.71937187036673,489.6553447505154
125,1053,496.2097260399698,125,493.8832224298012,493.25599094744905,493.5967986364489,493.01795119742974,493.5500440648805
126,56,490.92848896171614,126,490.5617578761628,489.73650248188807,490.9640323390073,489.71937187036673,489.77821250830334
127,131,504.9401268816218,127,500.7788106371172,500.979239834608,500.7442157591974,498.0533875145395,499.8632985751778
128,754,487.1741880999316,128,488.8692365735568,489.6694851877755,489.6145655867612,489.71937187036673,489.6553447505154
129,822,489.0251178980244,129,491.2595854884976,492.442033210082,491.0543211823348,490.8529065750889,492.979669356476
130,49,494.8051324535477,130,491.4702658047827,490.23327240330497,491.0303896608759,489.71937187036673,490.3739419376965
131,612,493.9022607773664,131,494.6134781381299,494.8115361299406,494.7228193234148,495.1490258760933,494.292336477436
132,836,491.6673935007905,132,490.6277521357891,489.4474669531996,489.2962144502853,489.71937187036673,489.6001475345136
133,1334,492.33639912308536,133,492.9670082705325,494.5172846448122,493.1267852084808,494.1280377438568,494.38964648826817
134,664,489.5347466136952,134,489.4651058388079,489.8196249316456,489.6317450181919,489.71937187036673,489.9863365196112
135,1023,495.1907795775946,135,490.5319679839533,490.5743336465964,490.52336647447095,489.71937187036673,490.05597841596807
136,1350,488.4861909774973,136,489.393688886849,490.2706163859323,490.462336550688,490.8529065750889,490.1137879625242
137,17,492.17487597035415,137,489.382339975512,489.3492998209053,488.9679019805433,489.71937187036673,489.5760056698518
138,1324,493.15633468313234,138,494.1325240423089,493.1472813971653,493.164443183123,493.01795119742974,494.21807986967417
139,306,493.13139923282665,139,489.85325072799503,489.4258044781034,489.2962144502853,489.71937187036673,489.5888471973705
140,425,506.1689230038292,140,500.835877037165,500.4011288566192,500.59785996197655,498.0533875145395,500.88472695691206
141,876,494.3408489771075,141,490.8946295603674,490.4958721966832,490.5011206230111,489.71937187036673,489.9019321876779
142,1076,491.95964451476107,142,497.1908515108413,497.8631449734241,498.3697478762628,498.0533875145395,498.7484466649392
143,901,489.1100692850393,143,489.9678192520146,490.1800862785066,489.9763218214627,489.71937187036673,489.89742803836657
144,1083,488.1922051429505,144,489.7524532076529,489.9510062989798,489.92839251328616,489.71937187036673,490.1257514639031
145,101,493.4451129170986,145,490.9876808476215,489.7028452830268,489.6675424158223,489.71937187036673,489.6553447505154
146,1111,495.362487235504,146,494.1373230862612,493.1424286711513,492.9004997358039,493.01795119742974,492.4096116856341
147,668,491.86101908086766,147,490.4718836349919,490.21350541311136,490.10762949666696,489.71937187036673,489.73201852891054
148,292,489.6358107379346,148,489.9153954505992,490.801734980426,489.9386452356287,490.8529065750889,490.90148568702
149,709,494.0181128301927,149,494.4185143561605,495.7753780496921,495.779267811604,494.1280377438568,494.7134734190426
150,904,496.2849591838886,150,491.63913205788623,490.2191206257002,491.089970501316,490.8529065750889,490.666572564139
151,862,492.8121819088133,151,490.7779814187092,489.8275624999434,490.1698790096717,489.71937187036673,490.05597841596807
152,1193,492.6239952282856,152,490.7957957833861,490.24190729908736,491.268660198761,490.8529065750889,490.3739419376965
153,252,486.22375821980114,153,489.0248749678011,490.0210081354353,490.1172950626821,489.71937187036673,489.7038710453105
154,784,486.7974381170737,154,488.4999819341243,489.4544673545181,489.2962144502853,489.71937187036673,489.438254836889
155,277,502.4644817317728,155,496.0364678905853,495.86503202885257,495.021891969373,495.1490258760933,495.8981357430102
156,348,493.6972493128578,156,495.5302125856147,494.0954911538785,495.0950051642255,495.1490258760933,496.1672181943811
157,829,501.1692895393717,157,501.0864290325008,501.2954954894771,501.3368714875901,500.726658035386,500.745233061912
158,67,491.8228019039819,158,490.15475861403786,490.1179879161532,490.16643944429103,489.71937187036673,489.7038710453105
159,639,498.1512332243928,159,498.8642153836205,499.8061345917905,499.4819283216226,498.0533875145395,498.91091359751647
160,1285,489.90171958943137,160,489.33856529204974,489.9502156592463,489.32098042889135,489.71937187036673,489.7038710453105
161,1137,492.4829511054184,161,492.7480276944218,493.04316514676896,493.79322017469934,493.01795119742974,493.5466122632432
162,747,491.2210905179001,162,490.7805674998392,490.5035948656835,491.22496640154986,490.8529065750889,490.6274593017862
163,333,489.1501756080733,163,490.4075208842908,490.6953421546896,491.14613367706016,490.8529065750889,490.9796206658866
164,482,498.2780402979777,164,491.5926925969156,490.7554487950216,491.4879962850818,490.8529065750889,492.38951817710887
165,653,497.8008543655292,165,495.0449013669416,494.32288938491376,494.7228193234148,495.1490258760933,493.99159353976194
166,1119,493.5202102657898,166,494.05659862008366,494.24328930111216,493.61068484110575,494.1280377438568,494.47976125285095
167,13,489.2666652801863,167,491.3315036151593,492.6512966065863,492.5236425228568,493.01795119742974,491.8017889109861
168,523,494.3604088152144,168,494.5810935512508,495.4764914489823,494.5911241713976,494.1280377438568,494.65816135027535
169,220,494.1389948767498,169,491.2020926094983,489.7647170796273,490.92229447529263,489.71937187036673,490.0171358925457
170,186,497.48971362980296,170,494.6378559794809,494.0007554935846,494.5911241713976,494.1280377438568,494.5203999303995
171,834,483.7375664838771,171,488.660681367182,489.4009516635909,490.1744372861117,489.71937187036673,489.438254836889
172,940,495.5797862175759,172,494.17877837508695,493.0627570373962,493.9976748965957,493.01795119742974,493.4753170386333
173,894,488.1623374169556,173,489.81419980101737,490.3638785515787,490.0263611267972,490.8529065750889,490.1802013333762
174,357,491.39348363252856,174,490.26353441620745,490.3788139522644,489.8568174963507,489.71937187036673,489.6001475345136
175,1333,499.3464240495414,175,499.8199587843189,499.5509327112356,500.1564317636072,500.726658035386,499.3697697690207
176,652,494.7523197495103,176,494.44429173159295,493.1056461540376,494.4510898247081,493.01795119742974,492.9739060414561
177,1304,496.6608816221137,177,495.034695544786,492.91884670649193,494.1689384533806,493.01795119742974,493.64157875190295
178,280,492.8983712806901,178,493.24436742638886,494.2292695543477,493.61068484110575,494.1280377438568,494.436794765836
179,872,505.3982560716802,179,501.2023528433139,499.5713155992832,500.3610854691333,500.726658035386,500.0698968467794
180,722,498.4542324256081,180,498.8835043196823,499.1899895698096,498.7506101509305,498.0533875145395,499.1167252826445
181,80,487.8645397651085,181,489.36960570785857,490.0359674715107,489.5813864685056,489.71937187036673,489.6332081618688
182,226,491.40191542407865,182,489.6367905912971,489.7658206967738,488.92483209851696,489.71937187036673,489.31787975175456
183,166,492.2342146473074,183,490.5556540706798,489.4427664306263,489.42119687724,489.71937187036673,489.5888471973705
184,71,498.1487688638621,184,498.3910917920536,497.5540497493481,498.0634876314669,498.0533875145395,497.2270097828997
185,979,488.48678877264297,185,489.4456651883667,489.8898785025872,490.48487692467535,489.71937187036673,489.7591997171015
186,708,487.44472057901936,186,489.4297791011275,490.041808279467,490.0029759957075,489.71937187036673,489.77821250830334
187,74,492.9993199586133,187,490.6077526191056,490.5377512134496,489.7576749035933,489.71937187036673,489.9019321876779
188,552,486.5098578489501,188,488.4834946894259,490.18193230751126,488.9533792082645,489.71937187036673,489.5218362903416
189,204,493.2751856398961,189,490.79608230423145,489.7102053650101,490.2391488421427,489.71937187036673,489.7038710453105
190,118,491.02032326045656,190,490.8023232138782,490.06740026327657,491.1636008131844,489.71937187036673,489.6332081618688
191,1352,494.90393616643104,191,496.86450640316025,497.6779866214616,498.447984766708,498.0533875145395,498.7529385793613
192,1361,490.6902374256851,192,490.5137380672654,489.743153585545,490.2102170261615,489.71937187036673,489.9863365196112
193,755,483.0585742142989,193,489.6399353768006,489.9971402894356,490.0642810582706,489.71937187036673,489.43986586483913
194,1381,490.18943137884935,194,490.3172987842183,490.0631079601361,489.5142160943105,490.8529065750889,490.2538526910144
195,926,489.6599092665503,195,489.9276709465232,489.9031046825947,490.1925415753176,489.71937187036673,490.1137879625242
196,480,484.4945444865656,196,488.72344102592456,490.28726776486855,488.7167114622436,489.71937187036673,489.5787597859317
197,468,488.4801804177186,197,489.8234985133356,489.89644042597246,489.5621414010804,489.71937187036673,490.1802013333762
198,515,500.3810570737956,198,501.23817803571137,500.36990757274674,501.2404647203171,500.726658035386,500.95133667485504
199,419,487.2281848997944,199,488.75790866536704,489.5750879871009,490.0777433645384,489.71937187036673,490.05765720454445
200,196,483.8029995422765,200,487.6170783107465,489.5442323654528,489.7473934773755,489.71937187036673,489.04464667954784
201,494,489.6922103601507,201,492.6252197614111,494.0502266385807,493.1267852084808,494.1280377438568,494.3231179055095
202,843,489.80021224288976,202,490.5694509596567,490.1673793825268,491.2124970230169,490.8529065750889,490.666572564139
203,77,495.6044856349219,203,492.0638366829933,490.4968063917253,491.44740067928274,490.8529065750889,491.3752823327685
204,891,490.8559984061125,204,490.1952852824455,490.204814589337,490.0363552903213,489.71937187036673,489.7762897065912
205,217,490.74382208122415,205,490.6984338099661,491.0669696290752,491.8462306799397,489.71937187036673,489.6001475345136
206,1376,493.9554515814298,206,490.7443463562688,490.29195828766166,490.9008477673811,490.8529065750889,490.1137879625242
207,703,484.8020341465399,207,488.2680920990121,489.970171979114,489.2180868584375,489.71937187036673,489.6553447505154
208,95,493.0137799721288,208,491.5601772022787,490.3797962956776,491.40190889306575,490.8529065750889,490.4336221069908
209,626,489.07915990684097,209,489.73529687996574,489.45719184233855,489.2962144502853,489.71937187036673,489.5218362903416
210,1263,488.2981657274027,210,489.6276151689181,489.5002461807495,489.2962144502853,489.71937187036673,489.5787597859317
211,82,495.6910298444524,211,491.8195871653589,490.3852207775638,491.9774296161236,490.8529065750889,491.6802157160066
212,1301,492.1845532004292,212,490.9693157713973,490.2818837118472,490.3253585758665,489.71937187036673,489.9863365196112
213,1398,490.6762769840686,213,490.4278630368424,490.2774862099127,491.08629293195145,489.71937187036673,489.9863365196112
214,965,492.29567288466586,214,495.3189564844159,497.4077886372486,496.8033507095039,498.0533875145395,495.97621586105015
215,464,498.65125053425294,215,494.39653615597547,492.471587456176,494.1689384533806,493.01795119742974,493.6429874446678
216,1298,496.6855563662246,216,493.9095327577806,494.46544828027015,493.4290872109819,494.1280377438568,493.8328585087269
217,791,492.0873836831174,217,490.15915526073417,489.5447912195318,489.2962144502853,489.71937187036673,489.5760056698518
218,213,490.75988506250224,218,492.59400556799255,493.01063681520463,493.5275087358647,495.1490258760933,493.12778841960784
219,154,508.1343735138496,219,501.8029305132826,501.739130672982,500.8196130869831,500.726658035386,502.1275418678086
220,1118,502.8672397866214,220,501.1203094021999,500.4155954648705,501.2971980907699,500.726658035386,500.0021777797482
221,725,485.49164356885984,221,488.81916256101096,490.400345637025,489.6084482381561,490.8529065750889,489.79321447724107
222,694,486.71832015822,222,488.5203175541334,490.1296742817194,489.52062044126455,489.71937187036673,489.7025812281281
223,765,496.522237575644,223,491.07126097253126,489.7599605097781,490.9297982127371,489.71937187036673,490.3739419376965
224,1024,499.0462167904439,224,494.3436072371252,492.8848973474306,492.5847002622678,493.01795119742974,493.60722229936056
225,125,487.16893384962094,225,489.13645828841817,489.94144638895625,488.7768648049867,489.71937187036673,489.7025812281281
226,584,491.34262877149087,226,490.64371188739335,490.2131637609652,490.2774302585837,489.71937187036673,489.6553447505154
227,1094,505.5382764990357,227,500.33973886069776,497.7229548610792,499.82011278841895,498.0533875145395,500.7808154871129
228,497,491.51800866037456,228,491.0665224952342,490.381445548361,491.47437179546495,490.8529065750889,490.54061223132544
229,644,496.7661553168078,229,499.2491101560596,500.0523676381205,500.1749216004984,498.0533875145395,499.8533240329099
230,946,487.539596319624,230,491.6682204883665,492.72028768235737,491.7998841810364,490.8529065750889,492.0195304944039
231,124,489.4906247994118,231,489.6023898772788,489.81866214691365,490.4528048305766,489.71937187036673,489.9687149318097
232,261,491.48432749728266,232,491.11476093701214,490.33491595740594,491.45004774696,490.8529065750889,490.9796206658866
233,1143,488.9574996404996,233,489.8587597355156,490.5733864934446,490.8072716910363,489.71937187036673,490.01937335939016
234,276,489.96861908306056,234,493.6802674970321,496.8038762056501,494.6412955533012,494.1280377438568,494.17071030162987
235,170,489.9229233242343,235,490.6080410138022,490.2826915932899,490.6602340410856,489.71937187036673,489.77821250830334
236,1027,496.5137623601058,236,498.9866029661632,499.36622962474894,499.3497671111544,500.726658035386,500.0021777797482
237,1251,494.6853874839367,237,494.523301780748,494.3569341398804,494.51508290798375,495.1490258760933,494.3508879540117
238,806,496.2783106787781,238,495.5864169063293,496.5966284373021,494.982362499748,494.1280377438568,495.20807831379545
239,26,493.42733588215606,239,493.817017357468,494.65982980927,493.8152852915577,495.1490258760933,493.79659378228223
240,506,487.7393644158263,240,489.291757779262,489.9591800033329,490.0397948557019,489.71937187036673,489.8605849527895
241,905,490.2513444840084,241,490.27094414338296,490.4858793527714,489.7858615285144,490.8529065750889,490.3739419376965
242,88,491.43217919157206,242,492.1807871183702,493.65199146315206,492.5678816300622,493.01795119742974,493.2086270399592
243,36,485.05798857274607,243,489.05428325940113,490.0834296889974,489.4027366414521,490.8529065750889,490.1802013333762
244,960,492.4772727311537,244,490.6700949283141,489.45129469521896,490.1744372861117,489.71937187036673,489.5787597859317
245,1016,499.6953747558869,245,499.62366927359466,499.2433334927687,498.7689528272608,500.726658035386,500.33393869084887
246,385,492.8331274721104,246,493.1470873519357,493.05139479331126,493.3801012892402,493.01795119742974,493.70587202996217
247,864,494.0770097146515,247,493.1355516154336,492.71523779181535,493.2850834408976,493.01795119742974,492.2973128831039
248,35,492.6319785661324,248,490.8931349115379,490.7764479717176,490.7549720054945,490.8529065750889,490.910570626793
249,234,498.8103933159316,249,499.51223247152376,497.3942670091849,498.4599591064245,498.0533875145395,499.19594814984913
250,334,494.2411258410726,250,493.7450249865745,493.2847965297877,492.38115454925145,493.01795119742974,493.70587202996217
251,1188,505.653682741633,251,500.2980196423271,497.83584521984113,498.4127495030447,498.0533875145395,499.8179605103801
252,527,490.2001607183627,252,491.2955054983613,492.4786499201254,492.16195983029473,493.01795119742974,492.979669356476
253,1235,492.5371622669047,253,490.32610571280776,489.5272129127184,489.2962144502853,489.71937187036673,489.5888471973705
254,545,493.1557838335834,254,492.8224759556354,492.0721918470398,492.5317713836656,495.1490258760933,493.4092089371678
255,97,497.22464822515417,255,490.3827796321488,489.9821398384707,490.3461674447594,489.71937187036673,490.9201778275954
256,479,491.1763564819552,256,490.3155359902128,489.4513628480634,489.42119687724,489.71937187036673,489.5787597859317
